Gene,log2FC,p-value
DYNLRB1,-1.042866281190732,0.01739651270398677
THOC7,-1.040026387885299,0.017408501926826046
PPIA,-0.8925408378147797,0.01745156632801819
SMARCAD1,-1.5876857897812457,0.017512669334487654
FAM124B,-1.1932076129766975,0.017515942431027345
SLC38A9,-1.3844810700819794,0.017553185323943888
PARS2,-1.4608909821207563,0.01762893860234333
IL1R1,-1.685045611014294,0.017668431631790747
NR2E3,-1.8869143395374395,0.017671106626786167
UBFD1,-1.3222468018298097,0.017898882282114503
C1orf228,1.9412615199846508,0.017986076233991986
LOC100130298,1.3363814096400786,0.018052757724743112
NFYB,-1.4140464305893832,0.01811216661929777
MORN2,-1.5109968412061514,0.01813806754081311
SASH3,1.1309451255166438,0.018262095827207222
NDOR1,2.6691830236104552,0.018277083722978493
C14orf1,-1.5110791965020236,0.01829671108713893
PNPLA4,-1.2339164787441856,0.018340752745682178
ZRSR2,1.3352519349043774,0.01834794324487686
PDGFRA,-2.5914430119233383,0.018370796647274146
TTLL7,-2.2857023437429342,0.018429052163234386
TNFRSF17,-1.1209388930174502,0.01847731063601583
ARL6IP6,-1.3391066470829396,0.018559016706000214
IZUMO4,1.7917271487705904,0.018657825978045325
HSP90AB1,-1.429500845771062,0.01873200614483301
LINGO3,1.844354733763233,0.01873714247033749
CD63,-1.8771677202214923,0.018840925513918444
PARVA,-1.797626990909382,0.019025584063496376
SLC22A15,-1.8613323563611663,0.019055870913104133
MRPS18C,-1.125945649217817,0.019216577491669315
SLC31A1,-1.77526038291714,0.019298203371173866
SOD1,-1.7806301609157336,0.019305640778019727
GPR34,-1.6083238590020446,0.019624072371598453
GALC,-1.4369986280709999,0.019669678331892194
ADAMTSL3,-2.338690137058187,0.01967152170922355
RAPH1,-1.2303713222191366,0.019701181912084288
AARS,0.8080728535330133,0.0198073156272161
C20orf3,-1.5628702035575914,0.019820639717731868
ZNF415,-0.997507718839747,0.019883093555654197
C1orf112,-0.8769231427419975,0.019918429713519595
"AMACR,C1QTNF3,C1QTNF3-AMACR",-0.519716518749096,0.020000157961739796
OLFML2B,-2.275813246788088,0.020120844198302366
APOPT1,-0.9680858534332821,0.020196992194626184
MAP2K4,-1.1056235493598052,0.02022926324747788
IGFBP7,-1.9624551337422131,0.020384748119582657
CPNE5,1.253656136950199,0.020423034559032983
GFRA1,-3.041332129405551,0.020500388773790956
SLC39A9,-1.1492993268992109,0.02071752012541474
ITPRIPL2,-1.6061647538935313,0.020778096034187437
TRAF3IP1,-0.8538556892361036,0.02083005784255682
KIAA1737,-1.3182341015735966,0.02095368515843396
MLLT10,-1.4167710895876264,0.02099411735588742
CDH11,-1.9768220027800254,0.02100948934346721
MKKS,-0.8486565151695875,0.021024955468514673
TMEM177,-1.316977085129235,0.021096830383973128
LOC649395,-1.4510096153562382,0.021098665397558645
FDCSP,1.3399367754552456,0.021239978225308383
VPS37D,-1.4550707925067754,0.021258715973501145
ZDHHC9,-2.2508542611714892,0.021597917427120163
ELK3,-1.5212370530416188,0.02166502239699689
TCIRG1,1.758217376344704,0.021672388576759787
LOC100506599,-1.4089832426397608,0.02176130303022224
ASUN,-1.4914713560816848,0.02195306361869285
MAPK9,-1.1206426247648635,0.022021441897625248
TMEM18,-0.9548525573656304,0.022053676935467607
"MYO18A,TIAF1",0.6018158980088115,0.022059519292761696
RNF135,-0.981391288912492,0.022129987330087645
ITGA5,1.6175923038661488,0.02224582549919409
SSBP2,-2.3256276336603934,0.022318307155918093
C9orf152,-3.804643090356647,0.022332585909473422
AHCYL1,-1.6364478857536646,0.022560408013819228
MYO1D,-1.0751412649103702,0.022561682822755245
TMED10,-1.4160788103775372,0.022605918020660472
EPB41L4B,-2.4608259256034883,0.02261385668321055
KDELR1,-1.3032933003999032,0.022654374363568507
RNF166,1.3423907863781066,0.022669755975010968
FOXJ3,-0.8933937538581151,0.02274406300462975
ACPL2,-1.069741676347082,0.022773281631855945
YWHAE,-1.2706611918486255,0.02277583939200495
CES2,1.1799755560164331,0.02283339701225969
RSBN1L,-1.2801648084281967,0.02300874416746073
SHROOM4,-0.8327236355620389,0.023151808225591177
THAP10,-0.8622575570875877,0.023339673796683485
CSTB,-1.377435933244115,0.02344155552303231
VSIG10,-1.7546531365108058,0.023450125539411035
OR13A1,1.7463315354756617,0.023504626812907953
MRPL19,-1.1575798603638385,0.023511052080924185
ARSD,-1.5247102877925118,0.023677411469109375
NDUFB2,-1.2437766299000632,0.023987075642512998
ARL1,-1.278374551943482,0.024073267834048777
TP53I11,-1.367937365501597,0.02426053182388641
SETD7,-1.8861199757311453,0.024300444611284375
ICK,-1.4449893836663765,0.024327367467105412
ABCB10,-1.0680341720471846,0.024351018391957035
GOLGA6L10,-1.117748901221246,0.024351083312701905
FAM192A,0.5629078638896523,0.024360777121270646
DYNC1I2,-1.544205838289776,0.02446332572385575
CD9,-3.359440892502181,0.024496013272314047
DDAH1,-2.501938018771675,0.02449866926322951
PCDH18,-1.2948062102063154,0.024616898060499347
MBOAT2,-2.9777121213350926,0.024670516742156513
WDTC1,-0.5522330182110884,0.024766387733530598
TBL2,-1.0179530663088991,0.024873753436616595
ZNF521,-0.8551356759343738,0.02495842739391609
PSTPIP1,1.441128245912942,0.024960433730461883
C3AR1,-1.7774376929833906,0.02500639642217989
NUDT8,-1.8113716178964383,0.025006648520110784
GNG12,-1.7383686413319872,0.025114226245570043
ARNT2,-1.7886470105591252,0.02513529284639233
GRAP,1.4892599445043877,0.02524243342735392
VPS37C,-1.1630936259016171,0.025288350558088316
ERC1,-0.7138223028105306,0.025296120917189913
TLR9,1.2853307811120205,0.025421854065299468
HIVEP3,-1.7244146372067268,0.025518291274449507
TTC39A,-1.6004593954600654,0.025518771949318227
LZTFL1,-1.0052317554485666,0.025557328396470076
NDUFC1,-1.0847437670971267,0.025743000913040506
BAG3,-1.7284775875588159,0.025787732053113067
KDSR,-1.120183390193292,0.02579320125878499
LOC440335,-1.9676904419388173,0.025826621357411195
NRCAM,1.5079410147367918,0.02588515524484877
SLC19A2,-2.2756907585762502,0.025979282351742312
KCTD21,-0.7805841916713561,0.02605541420279218
PRKCI,-1.5004201844747918,0.026070993969493667
ZNF576,-1.0226029653364477,0.026085625921677347
LCN10,1.0774902469421974,0.026098381146855018
DYNLT1,-1.3118618796899577,0.0261941706089138
COQ7,-1.0852909344874766,0.0262759806189162
GLCE,-1.545257998407601,0.026295513949397675
RNF220,1.5797000144073814,0.026375492268493565
MBNL2,-1.5741652794560945,0.026390500221574523
MTM1,-0.7718483448352552,0.026482733303874125
TSPAN33,1.1539076338455865,0.02668325523333823
INF2,1.6006811876363018,0.026809693961559626
STAM2,-1.1537647516303362,0.02683593020577206
UBE2L6,-1.0376144579706947,0.026847171136766015
ANKRD22,-2.0467307061930153,0.02686056161796234
CAMK2N1,-2.2559655847454527,0.026930219592265096
MORN4,-1.7526523825089675,0.02697567034922823
BMP4,-2.0535056013722466,0.02710973922073887
SPRED2,-1.5964378761489535,0.02717010223794869
MANSC1,-2.34794240162088,0.027180007570478792
USO1,-1.4808498424271614,0.02721639213547181
PSD4,1.2481089222973791,0.027266949649317557
DAG1,-0.9886015696130948,0.027301215779646445
RRAGA,-0.9467239980735505,0.027527521229981557
HPN,-2.1727762613252803,0.027665899888019593
SF3A3,1.0486171899551069,0.027673670691588437
HPRT1,-1.1614270002954075,0.02772345028446739
CHPT1,-1.456559334534015,0.027748286162348177
UQCC,-0.6613122294960956,0.027855986019307256
SPECC1,-1.2213823390997283,0.027966447723624385
DUSP10,-1.062242462360261,0.02804206251208772
LOC728758,-1.0740939375761924,0.028170482542062374
BCKDHB,-1.4399109236930556,0.02829377273088645
SLC25A3,-0.7176510514807006,0.02835586758087075
ADIPOR1,-1.1544274885794152,0.028372217179063984
FLJ33630,-1.836648549965612,0.02842257444367048
CPD,-1.9030713234323626,0.028567236685371828
DPY19L4,-1.6653022223944056,0.028573174099532105
IL13RA1,-1.127001138007902,0.028591953318280246
C1orf229,-1.880376029953117,0.028731007432922603
LAPTM4A,-2.2534619297907597,0.02874518142719496
